champion,position,sample_size,winrate,kda_medio,build_mais_usada,bans_recomendados,picks_alternativos,pontos_fortes,pontos_fracos,meta_insight
Akali,INVALID,1,1.0,0.0,,,,,,
Alistar,UTILITY,1,0.0,0.0,,,,,,
Aurora,TOP,1,0.0,0.0,,,,,,
DrMundo,INVALID,1,0.0,0.0,,,,,,
Ezreal,BOTTOM,1,1.0,0.0,,,,,,
Gnar,TOP,1,1.0,0.0,,,,,,
Graves,INVALID,1,1.0,0.0,,,,,,
Hecarim,JUNGLE,2,0.0,0.0,,,,,,
JarvanIV,JUNGLE,1,1.0,0.0,,,,,,
Jayce,TOP,1,0.0,0.0,,,,,,
Kaisa,BOTTOM,1,1.0,0.0,,,,,,
Karma,UTILITY,1,1.0,0.0,,,,,,
Katarina,INVALID,1,0.0,0.0,,,,,,
Katarina,MIDDLE,1,0.0,0.0,,,,,,
Kayn,JUNGLE,1,1.0,0.0,,,,,,
KogMaw,BOTTOM,1,1.0,0.0,,,,,,
KogMaw,INVALID,1,1.0,0.0,,,,,,
Leblanc,MIDDLE,2,1.0,0.0,,,,,,
Lucian,BOTTOM,2,0.0,0.0,,,,,,
Lulu,UTILITY,2,0.5,0.0,,,,,,
Lux,INVALID,1,0.0,0.0,,,,,,
Malphite,TOP,1,1.0,0.0,,,,,,
Maokai,TOP,1,0.0,0.0,,,,,,
MasterYi,JUNGLE,1,0.0,0.0,,,,,,
Mel,INVALID,1,1.0,0.0,,,,,,
Nami,UTILITY,1,0.0,0.0,,,,,,
Nautilus,INVALID,1,0.0,0.0,,,,,,
Nautilus,UTILITY,1,1.0,0.0,,,,,,
Nidalee,JUNGLE,1,1.0,0.0,,,,,,
Nunu,INVALID,1,1.0,0.0,,,,,,
Orianna,INVALID,1,1.0,0.0,,,,,,
Quinn,INVALID,1,0.0,0.0,,,,,,
Rakan,UTILITY,1,0.0,0.0,,,,,,
Rammus,JUNGLE,1,0.0,0.0,,,,,,
Rell,INVALID,1,1.0,0.0,,,,,,
Renekton,TOP,3,0.333,1.74,Sundered Sky;Chainlaced Crushers;Black Cleaver;Sterak's Gage;Eclipse,Yorick;-1;Caitlyn,,"Fatia e dados se destacam em manobras de assediar.Corte, siga com outra habilidade e depois afaste -se de volta à segurança.;Abate os mansos drena uma enorme quantidade de vida quando usados ​​no meio da briga.Você pode usar isso para atrair oponentes para pensar que você é mais fraco do que realmente é.;A redução de recarga é especialmente boa para Renekton, permitindo que ele se acumule rapidamente e use sua fúria.","Preste muita atenção ao medidor de Fury de Renekton, pois isso geralmente significa quando ele está prestes a atacar.;Renekton de Renekton ser capaz de lutar e ganhar fúria, assediando -o continuamente, reduzirá severamente a eficácia de suas habilidades.",
Ryze,MIDDLE,1,0.0,0.0,,,,,,
Sejuani,INVALID,1,0.0,0.0,,,,,,
Sett,TOP,1,0.0,0.0,,,,,,
Sion,TOP,2,0.0,0.58,Galeforce;Guardian's Blade;The Collector;Mortal Reminder;Ionian Boots of Lucidity,-1;Zed;Alistar,,"Você só tem uma capacidade de giro muito leve durante ataques imparáveis, por isso, certifique -se de usá -lo em caminhos retos.;O rugido do Slayer é uma ótima capacidade de configuração de conseguir um esmagamento muito poderoso.;O buff do forno da alma exibe quanta força de escudo permanece, use essas informações para cronometrar perfeitamente sua explosão.","Mesmo que Sion ainda atinja um esmagamento, fazendo -o liberar a acusação reduz anteriormente seu impacto.;Use o tempo depois que Sion morreu para reposicionar e se preparar para seu retorno.",
Soraka,INVALID,1,1.0,0.0,,,,,,
Sylas,MIDDLE,2,1.0,0.0,,,,,,
TahmKench,INVALID,1,0.0,0.0,,,,,,
Taric,INVALID,1,0.0,0.0,,,,,,
Tristana,INVALID,1,0.0,0.0,,,,,,
Twitch,BOTTOM,1,0.0,0.0,,,,,,
Twitch,INVALID,1,0.0,0.0,,,,,,
Vayne,INVALID,1,1.0,0.0,,,,,,
Vex,MIDDLE,1,0.0,0.0,,,,,,
Viego,JUNGLE,1,1.0,0.0,,,,,,
Vladimir,INVALID,1,1.0,0.0,,,,,,
Xayah,BOTTOM,1,0.0,0.0,,,,,,
Yuumi,UTILITY,1,1.0,0.0,,,,,,
Zeri,BOTTOM,1,1.0,0.0,,,,,,
Zilean,MIDDLE,1,0.0,0.0,,,,,,
